id	village	rus_village	lat	lon	lang	aff	family	standard	default_level	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltc_lang	lang_col	aff_col	dataset_version
1	Khpyuk	Хпюк	41.66667	47.66667	Agul	Lezgic	East Caucasian		Agul	Keren	Керенский							Huppuq'	aghu1253	#00cc66	#00cc66	31.01.2022
2	Usug	Усуг	41.672481	47.594624	Agul	Lezgic	East Caucasian		Agul	Keren	Керенский							Usug	aghu1253	#00cc66	#00cc66	31.01.2022
3	Kvardal	Квардал	41.6803	47.56277	Agul	Lezgic	East Caucasian		Agul	Keren	Керенский							Kvardal	aghu1253	#00cc66	#00cc66	31.01.2022
4	Ukuz	Укуз	41.696017	47.591355	Agul	Lezgic	East Caucasian		Agul	Keren	Керенский							Ukuz	aghu1253	#00cc66	#00cc66	31.01.2022
5	Khveredzh	Хвередж	41.70206	47.57218	Agul	Lezgic	East Caucasian		Agul	Keren	Керенский							Khveredzh	aghu1253	#00cc66	#00cc66	31.01.2022
6	Bedyuk	Бедюк	41.716044	47.525715	Agul	Lezgic	East Caucasian		Agul	Keren	Керенский							Bedyuk	aghu1253	#00cc66	#00cc66	31.01.2022
7	Goa	Гоа	41.753585	47.703213	Agul	Lezgic	East Caucasian		Agul	Central Agul	Центральный							Goa	aghu1253	#00cc66	#00cc66	31.01.2022
8	Richa	Рича	41.763646	47.502769	Agul	Lezgic	East Caucasian		Agul	Keren	Керенский							Richa	aghu1253	#00cc66	#00cc66	31.01.2022
9	Duldug	Дулдуг	41.76833	47.67438	Agul	Lezgic	East Caucasian		Agul	Central Agul	Центральный							Duldug	aghu1253	#00cc66	#00cc66	31.01.2022
10	Tpig	Тпиг	41.780423	47.589523	Agul	Lezgic	East Caucasian		Agul	Central Agul	Центральный							Tpig	aghu1253	#00cc66	#00cc66	31.01.2022
11	Khutkhul	Хутхул	41.78517	47.61451	Agul	Lezgic	East Caucasian		Agul	Central Agul	Центральный							Khutkhul	aghu1253	#00cc66	#00cc66	31.01.2022
12	Fite	Фите	41.79161	47.73998	Agul	Lezgic	East Caucasian		Agul	Fite	Фитинский							Fite	aghu1253	#00cc66	#00cc66	31.01.2022
13	Yarkug	Яркуг	41.79814	47.68435	Agul	Lezgic	East Caucasian		Agul	Central Agul	Центральный							Yarkug	aghu1253	#00cc66	#00cc66	31.01.2022
14	Burkikhan	Буркихан	41.806356	47.538467	Agul	Lezgic	East Caucasian		Agul	Burkikhan	Буркиханский							Burkikhan	aghu1253	#00cc66	#00cc66	31.01.2022
15	Misi	Миси	41.80991	47.60329	Agul	Lezgic	East Caucasian		Agul	Central Agul	Центральный							Misi	aghu1253	#00cc66	#00cc66	31.01.2022
