koryakov_db_id,eng_vil_name,rus_vil_name,lang_1_K,lang_2_K,lang_1_S,lang_2_S,same_languages,name_1885,name_1895,name_1926,name_2010,census_1885,census_1895,census_1926,census_2010,Lat,Lon,Republic,Region,elevation,LevK_comments
481,,? Бехвалутчи/Бехахутли,Tindi,,,,,,,Бехоркучи,Бехвалутчи,,,45,26,,,,,,
3887,,(база отдыха),Kumyk,,,,,,,Сулак № 2,,,,15,,,,,,,
3943,,(Старый) Гапцах,Lezgian,,,,,Гапца (Гепце),"Гапца (Гепце, Хабца, Хапцагар)",Гопцах,,939,883,1034,,,,,,,
3327,,(старый) Хорель,Lezgian,,,,,Хорал (Хюраль),Хораль (Хюраль),Хорель,,417,422,547,,,,,,,
3915,,5-й Караман,Russian,,,,,,,Караман № 1,,,,109,,,,,,,
375,,№ 1,Botlikh,,,,,,,№ 1,,,,6,,,,,,,
377,,№ 2,Botlikh,,,,,,,№ 2,,,,8,,,,,,,
1047,,Абдуразда,Avar,,,,,,,Абдуразда,,,,10,,,,,,,
1291,,Абидуны Махи,Dargwa,сев.,,,,,,Абидуны Махи,,,,86,,,,,,,
1949,Avadan,Авадан,North Azerbaijani,,Lezgian,,FALSE,Араблир,Арабляр,Арабляр,Авадан,149,145,76,2855,41.93376,48.33858,Daghestan,,6.30205154418945,
1485,,Авулт,Dargwa,сев.,,,,,,Авулт,,,,12,,,,,,,
1051,Agada,Агада,Avar,,Avar,,TRUE,,,Ахада,Агада,,,35,45,42.412001,46.841895,Daghestan,,1210.09204101563,
3657,Agachaul,Агачаул,Kumyk,,Kumyk,,TRUE,Агач-аул,Агач-аул,Агач-Аул,Агачаул,469,305,534,1811,42.92306,47.46064,Daghestan,,250.854614257812,
855,Agachkala,Агачкала,Kumyk,,Kumyk,,TRUE,Агач-Кала,,Агач-Кала,Агачкала,24,,90,447,42.76698,47.07599,Daghestan,,686.41064453125,
215,Agvali,Агвали,Chamalal,,Chamalal,,TRUE,Ашали,Агвали (Агуали),Агвали,Агвали,181,183,213,2453,42.541192,46.121798,Daghestan,,962.579956054688,?
215,,Агвали,Chamalal,,,,,Ашали,Агвали (Агуали),Агвали,Агвали,181,183,213,2453,,,,,,?
287,Agvali,Агвали,Chamalal,,Chamalal,,TRUE,,,Агвали,,,,72,,42.541192,46.121798,Daghestan,,962.579956054688,?
287,,Агвали,Chamalal,,,,,,,Агвали,,,,72,,,,,,,?
