lang,idiom,core,aff,family,glottocode,gltc_lat,gltc_lon,general_location,lang_color,lang_color_pale,aff_color,lang_color_dagatlas,villages_marked,comment
Bagvalal,Bagvalal,yes,Andic,East Caucasian,bagv1239,42.39664,46.1041,glottolog coordinates,#000066,#0000b3,#9900ff,#191970,NA,
Chamalal,Chamalal,yes,Andic,East Caucasian,cham1309,42.50239,45.99496,glottolog coordinates,#000099,#0000e6,#9900ff,#0000FF,NA,
Udi,Udi,yes,Lezgic,East Caucasian,udii1243,40.9,47.7236,glottolog coordinates,#003300,#008000,#00cc66,#DB7093,NA,
Andi,Andi,yes,Andic,East Caucasian,andi1255,42.80785,46.29187,glottolog coordinates,#003366,#0059b3,#9900ff,#00BFFF,NA,
Godoberi,Godoberi,yes,Andic,East Caucasian,ghod1238,42.74276,46.22524,glottolog coordinates,#003399,#004de6,#9900ff,#00FFFF,NA,
Budukh,Budukh,yes,Lezgic,East Caucasian,budu1248,41.22722,48.33533,glottolog coordinates,#006600,#00b300,#00cc66,#E9967A,NA,
Rutul,Rutul,yes,Lezgic,East Caucasian,rutu1240,41.61866,47.32436,glottolog coordinates,#009900,#00e600,#00cc66,#B22222,NA,
Kryz,Kryz,yes,Lezgic,East Caucasian,kryt1240,41.18107,48.18457,glottolog coordinates,#009933,#00e64d,#00cc66,#FFA07A,NA,
Avar,Avar,yes,Avar,East Caucasian,avar1256,42.43056,46.66639,glottolog coordinates,#009999,#00e6e6,#009999,#8A2BE2,NA,
Avar,Ancux,no,Avar,East Caucasian,ancu1238,41.9086801,45.9489227,village Tivi,#009999,#00e6e6,#009999,#8A2BE2,yes,
Avar,Zaqatala,no,Avar,East Caucasian,zaqa1242,41.615991,46.60675,Zaqatala city,#009999,#00e6e6,#009999,#8A2BE2,yes,
Lezgian,Lezgian,yes,Lezgic,East Caucasian,lezg1247,41.51572,47.89507,glottolog coordinates,#00cc00,#1aff1a,#00cc66,#CD5C5C,NA,
Agul,Agul,yes,Lezgic,East Caucasian,aghu1253,41.92418,47.58429,glottolog coordinates,#00cc66,#1aff8c,#00cc66,#FA8072,NA,
Tindi,Tindi,yes,Andic,East Caucasian,tind1238,42.33164,45.92268,glottolog coordinates,#333399,#5353c6,#9900ff,#6495ED,NA,
Botlikh,Botlikh,yes,Andic,East Caucasian,botl1242,42.665,46.22,glottolog coordinates,#336699,#538cc6,#9900ff,#4682B4,NA,
Tabasaran,Tabasaran,yes,Lezgic,East Caucasian,taba1259,42.01976,47.83791,glottolog coordinates,#339966,#53c68c,#00cc66,#DC143C,NA,
Ingush,Ingush,yes,Nakh,East Caucasian,ingu1240,43.16667,44.81667,glottolog coordinates,#663300,#b35900,#996633,#D2691E,NA,
Karata,Karata,yes,Andic,East Caucasian,kara1474,42.65005,46.31511,glottolog coordinates,#666699,#9494b8,#9900ff,#1E90FF,NA,
Tsakhur,Tsakhur,yes,Lezgic,East Caucasian,tsak1249,41.59156,46.88585,glottolog coordinates,#669900,#99e600,#00cc66,#F08080,NA,
Tsez,Tsez,yes,Tsezic,East Caucasian,dido1241,42.26458,45.80959,glottolog coordinates,#990033,#e6004c,#ff5050,#556B2F,NA,
Akhvakh,Akhvakh,yes,Andic,East Caucasian,akhv1239,42.40035,46.30369,glottolog coordinates,#9900ff,#b84dff,#9900ff,#4169E1,NA,
Khwarshi,Inkhoqwari,no,Tsezic,East Caucasian,khva1239,42.410888,46.044877,glottolog coordinates,#993333,#c65353,#ff5050,#2F4F4F,NA,more data
Khwarshi,Khwarshi,yes,Tsezic,East Caucasian,khva1239,42.353471,46.107859,glottolog coordinates,#993333,#c65353,#ff5050,#2F4F4F,no,
Chechen,Chechen,yes,Nakh,East Caucasian,chec1245,43.5,45.5,glottolog coordinates,#996600,#e69900,#996633,#DAA520,NA,
Bats,Bats,yes,Nakh,East Caucasian,bats1242,42.1806,45.34397,glottolog coordinates,#996633,#c68c53,#996633,#BC8F8F,NA,
Archi,Archi,yes,Lezgic,East Caucasian,arch1244,42.0664,46.8678,glottolog coordinates,#99cc00,#c6ff1a,#00cc66,#8B0000,NA,
Hinuq,Hinuq,yes,Tsezic,East Caucasian,hinu1240,42.45022,45.80638,glottolog coordinates,#cc0000,#ff1a1a,#ff5050,#6B8E23,NA,
Lak,Lak,yes,Lak,East Caucasian,lakk1252,42.13275,47.0809,glottolog coordinates,#cc9900,#ffc61a,#cc9900,#FFFF00,NA,
Khinalug,Khinalug,yes,Khinalug,East Caucasian,khin1240,41.18014,48.05714,glottolog coordinates,#cccc00,#ffff1a,#cccc00,#FF00FF,NA,
Kumyk,Kumyk,yes,Kipchak,Turkic,kumy1244,43,47,glottolog coordinates,#a6a6a6,#a6a6a6,#666666,#D3D3D3,NA,
Nogai,Nogai,yes,Kipchak,Turkic,noga1249,43.59168,46.66178,glottolog coordinates,#666666,#8c8c8c,#666666,#DCDCDC,NA,
Hunzib,Hunzib,yes,Tsezic,East Caucasian,hunz1247,42.08076,46.13691,glottolog coordinates,#ff0066,#ff4d94,#ff5050,#8FBC8F,NA,
Bezhta,Bezhta,yes,Tsezic,East Caucasian,bezh1248,42.1206,46.03319,glottolog coordinates,#ff5050,#ff9999,#ff5050,#808000,NA,
Dargwa,Standard Dargwa,yes,Dargwa,East Caucasian,darg1241,42.42568,47.43876,glottolog coordinates,#ff9900,#ffb84d,#ff9900,#00FF7F,NA,
Dargwa,Chirag,no,Dargwa,East Caucasian,chir1284,41.8381,47.4303,village Chirag,#ff9900,#ffb84d,#ff9900,#00FF7F,yes,
Dargwa,Cudaxar,add,Dargwa,East Caucasian,cuda1238,42.33333,47.15,glottolog coordinates,#ff9900,#ffb84d,#ff9900,#00FF7F,no,
Dargwa,Itsari,no,Dargwa,East Caucasian,itsa1239,41.99733,47.5833,village Itsari,#ff9900,#ffb84d,#ff9900,#00FF7F,yes,
Dargwa,Kajtak,add,Dargwa,East Caucasian,kajt1238,42.06139,47.79597,glottolog coordinates,#ff9900,#ffb84d,#ff9900,#00FF7F,no,
Dargwa,Kubachi,no,Dargwa,East Caucasian,kuba1248,42.0856,47.6031,village Kubachi,#ff9900,#ffb84d,#ff9900,#00FF7F,yes,
Dargwa,Tanti,no,Dargwa,East Caucasian,sirh1234,42.1642,47.3167,village Tanty,#ff9900,#ffb84d,#ff9900,#00FF7F,yes,
Dargwa,Mehweb,no,Dargwa,East Caucasian,mege1234,42.2528,47.0472,village Megeb,#ff9900,#ffb84d,#ff9900,#00FF7F,yes,
Dargwa,Amuzgi-Shiri,no,Dargwa,East Caucasian,sirz1237,42.060627,47.589895,glottolog coordinates,#ff9900,#ffb84d,#ff9900,#00FF7F,no,
Dargwa,Gapshima,add,Dargwa,East Caucasian,gaps1234,42.2122,47.3261,glottolog coordinates,#ff9900,#ffb84d,#ff9900,#00FF7F,no,
Dargwa,North-Dargwa,add,Dargwa,East Caucasian,nort3280,42.275664,47.340107,glottolog coordinates,#ff9900,#ffb84d,#ff9900,#00FF7F,no,
Dargwa,Verhnevurkunskij,add,Dargwa,East Caucasian,uppe1463,41.96638,47.51297,glottolog coordinates,#ff9900,#ffb84d,#ff9900,#00FF7F,no,
Dargwa,Muirin,add,Dargwa,East Caucasian,muir1238,42.1617,47.6944,glottolog coordinates,#ff9900,#ffb84d,#ff9900,#00FF7F,no,
Dargwa,Sanzhi,no,Dargwa,East Caucasian,sanz1248,41.9778645,47.5644556,village Sanzhi,#ff9900,#ffb84d,#ff9900,#00FF7F,yes,
Armenian,Eastern Armenian,yes,Armenic,Indo-European,nucl1235,40,45,glottolog coordinates,#fff5ee,#ffffff,#fff5ee,#FFF8DC,NA,
Azerbaijani,North Azerbaijani,yes,Oghuz,Turkic,nort2697,40.977675,46.4736975,glottolog coordinates,#cccccc,#f2f2f2,#cccccc,#FFFFF0,NA,standard language
