id	village	rus_village	village_altnames	lat	lon	coord_source	settlement_type	lang	aff	family	republic	region	elevation	kutans	source	page	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltl_village_dialect	gltc_village_dialect	gltl_dialect	gltc_dialect	gltc_lang	lang_col	aff_col	dialect_comment	villagelang_comment	manual
629	Kenkhi	Кенхи		42.641667	45.945556	Legacy data		Chamalal	Andic	East Caucasian	Chechnya	NA	1557.23425292969	FALSE	magomedova1999	13	Gakvari	Гакваринский							Kenkhi			Gakvari	gakv1238	cham1309	#000099	#9900ff			yes
634	Khulandoy	Хуландой		42.553333	45.754167	Legacy data		Chechen	Nakh	East Caucasian	Chechnya	NA	1708.62817382813	FALSE	korjakov2006	map 8	Sharoy	Шароевский							Khulandoy					chec1245	#996600	#996633			no
635	Kesaloy	Кесалой		42.602778	45.74	Legacy data		Chechen	Nakh	East Caucasian	Chechnya	NA	1795.72924804688	FALSE											Kesaloy					chec1245	#996600	#996633			no
636	Khakmadoy	Хакмадой		42.620556	45.83	Legacy data		Chechen	Nakh	East Caucasian	Chechnya	NA	1669.87829589844	FALSE											Khakmadoy					chec1245	#996600	#996633			no
637	Chayry	Чайры		42.620556	45.909722	Legacy data		Chechen	Nakh	East Caucasian	Chechnya	NA	1738.76647949219	FALSE											Chayry					chec1245	#996600	#996633			no
638	Sharoy	Шарой		42.629722	45.81	Legacy data		Chechen	Nakh	East Caucasian	Chechnya	NA	1520.16357421875	FALSE											Sharoy					chec1245	#996600	#996633			no
639	Shikaroy	Шикарой		42.630278	45.760556	Legacy data		Chechen	Nakh	East Caucasian	Chechnya	NA	1855.60144042969	FALSE											Shikaroy					chec1245	#996600	#996633			no
640	Shkolkhe	Школхе		42.63929	45.935388	Legacy data		Chechen	Nakh	East Caucasian	Chechnya	NA	1496.14855957031	FALSE											Shkolkhe					chec1245	#996600	#996633			no
641	Khimoy	Химой		42.654444	45.852222	Legacy data		Chechen	Nakh	East Caucasian	Chechnya	NA	1224.49450683594	FALSE											Khimoy					chec1245	#996600	#996633			no
642	Buti	Бути		42.661389	45.97	Legacy data		Chechen	Nakh	East Caucasian	Chechnya	NA	1701.61120605469	FALSE											Buti					chec1245	#996600	#996633			no
643	Kiri	Кири		42.674722	45.914167	Legacy data		Chechen	Nakh	East Caucasian	Chechnya	NA	1170.07836914063	FALSE	korjakov2006	map 8	Sharoy	Шароевский							Kiri					chec1245	#996600	#996633			no
644	Verkhniy Camadoy	Верхний Цамадой		42.675278	45.644722	Legacy data		Chechen	Nakh	East Caucasian	Chechnya	NA	1596.90576171875	FALSE											Verkhniy Camadoy					chec1245	#996600	#996633			no
645	Kheldi	Хелди		42.675278	45.644722	Legacy data		Chechen	Nakh	East Caucasian	Chechnya	NA	1596.90576171875	FALSE											Kheldi					chec1245	#996600	#996633			no
646	Cesi	Цеси		42.680278	45.790833	Legacy data		Chechen	Nakh	East Caucasian	Chechnya	NA	1710.0029296875	FALSE											Cesi					chec1245	#996600	#996633			no
647	Veduchi	Ведучи		42.684722	45.568611	Legacy data		Chechen	Nakh	East Caucasian	Chechnya	NA	1202.07214355469	FALSE	korjakov2006	map 8	Itum-Kali	Итум-калинский	Chanti	Чантинский					Veduchi			Itumkala	itum1244	chec1245	#996600	#996633			no
648	Sakan-iiste	Сакан-Иисте		42.689444	45.476389	Legacy data		Chechen	Nakh	East Caucasian	Chechnya	NA	1370.56384277344	FALSE											Sakan-iiste					chec1245	#996600	#996633			no
649	Shundili	Шундили		42.698533	45.417414	Legacy data		Chechen	Nakh	East Caucasian	Chechnya	NA	1820.47961425781	FALSE											Shundili					chec1245	#996600	#996633			no
650	Lyunki	Люнки		42.70167	45.47944	Legacy data		Chechen	Nakh	East Caucasian	Chechnya	NA	1478.56750488281	FALSE											Lyunki					chec1245	#996600	#996633			no
651	Sadoy	Садой		42.701835	46.063155	Legacy data		Chechen	Nakh	East Caucasian	Chechnya	NA	1788.23071289063	FALSE	arsakhanov1969	37	Cheberloy	Чеберлоевский							Sadoy					chec1245	#996600	#996633			no
652	Doza	Доза		42.70201	45.28279	Legacy data		Chechen	Nakh	East Caucasian	Chechnya	NA	1168.83544921875	FALSE											Doza					chec1245	#996600	#996633			no
653	Khindoy	Хиндой		42.703677	46.006265	Legacy data		Chechen	Nakh	East Caucasian	Chechnya	NA	1742.41455078125	FALSE	arsakhanov1969	37	Cheberloy	Чеберлоевский							Khindoy					chec1245	#996600	#996633			no
654	Kamalkhi	Камалхи		42.706181	45.280203	Legacy data		Chechen	Nakh	East Caucasian	Chechnya	NA	1345.57629394531	FALSE											Kamalkhi					chec1245	#996600	#996633			no
