id	village	rus_village	village_altnames	lat	lon	coord_source	settlement_type	lang	aff	family	republic	region	elevation	kutans	source	page	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltl_village_dialect	gltc_village_dialect	gltl_dialect	gltc_dialect	gltc_lang	lang_col	aff_col	dialect_comment	villagelang_comment	manual
2042		Белъелда						Avar	Avar	East Caucasian		?		FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Zaqatala									Zaqatala	zaqa1242	avar1256	#009999	#009999		People moved from this village to a Zaqatala village according to the source; unclear where it is/was.	yes
2043		Гъерел						Avar	Avar	East Caucasian		?		FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Zaqatala									Zaqatala	zaqa1242	avar1256	#009999	#009999		People moved from this village to a Zaqatala village according to the source; unclear where it is/was.	yes
2044		Гъортноб						Avar	Avar	East Caucasian		?		FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Zaqatala									Zaqatala	zaqa1242	avar1256	#009999	#009999		People moved from this village to a Zaqatala village according to the source; unclear where it is/was.	yes
2045		Цалда						Avar	Avar	East Caucasian		?		FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Zaqatala									Zaqatala	zaqa1242	avar1256	#009999	#009999		People moved from this village to a Zaqatala village according to the source; unclear where it is/was.	yes
2046		Ч1орода						Avar	Avar	East Caucasian		?		FALSE	saidova2008	23-28	Southern Avar	Южноаварский	Zaqatala									Zaqatala	zaqa1242	avar1256	#009999	#009999		People moved from this village to a Zaqatala village according to the source; unclear where it is/was.	yes
2047	Beçeqarbinə	Бичигар	Пуч1акъар, Пуч1къар, Biçiqarbinə, Biciqarbinə, Bichagarbina, Bichigar, Bichigarbina, Buchagar	41.6302	46.3669	OpenStreetMap	hamlet	Avar	Avar	East Caucasian	Azerbaijan	Balakən		FALSE	saidova2007	15-18	Southern Avar	Южноаварский	Zaqatala		Balakən		Katekh		Beçeqarbinə			Zaqatala	zaqa1242	avar1256	#009999	#009999			yes
2048	Beretbinə	Беретбина	Берет, Берет1бина, Берет1, Берет1 росо	41.6403	46.4908	OpenStreetMap	hamlet	Avar	Avar	East Caucasian	Azerbaijan	Balakən		FALSE	saidova2007	15-18	Southern Avar	Южноаварский	Zaqatala		Balakən		Katekh		Beretbinə			Zaqatala	zaqa1242	avar1256	#009999	#009999		There is another village with the same name in Zaqatala.	yes
2049	Cederovtala	Чедерабтала	Ч1едерабтала, Чедеровтала, Ч1едер(аб) Тала	41.70486	46.31738	OpenStreetMap	hamlet	Avar	Avar	East Caucasian	Azerbaijan	Balakən		FALSE	saidova2007	15-18	Southern Avar	Южноаварский	Zaqatala		Balakən		Kabakhchol		Cederovtala			Zaqatala	zaqa1242	avar1256	#009999	#009999			yes
2050	Gərəkli	Герекли		41.7424	46.3935	OpenStreetMap	hamlet	Avar	Avar	East Caucasian	Azerbaijan	Balakən		FALSE	saidova2007	15-18	Southern Avar	Южноаварский	Zaqatala		Balakən		Balakən proper		Gərəkli			Zaqatala	zaqa1242	avar1256	#009999	#009999			yes
2051	Katex	Катех	К1ат1ех, К1ит1ихъ, კატეხი	41.6525	46.5456	OpenStreetMap	village	Avar	Avar	East Caucasian	Azerbaijan	Balakən		FALSE	saidova2007	15-18	Southern Avar	Южноаварский	Zaqatala		Balakən		Katekh		Katex			Zaqatala	zaqa1242	avar1256	#009999	#009999			yes
