id	village	rus_village	village_altnames	lat	lon	coord_source	settlement_type	lang	aff	family	republic	region	elevation	kutans	source	page	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltl_village_dialect	gltc_village_dialect	gltl_dialect	gltc_dialect	gltc_lang	lang_col	aff_col	dialect_comment	villagelang_comment	manual
104	Tivi	Тиви		41.9086801	45.9489227	Google maps		Avar	Avar	East Caucasian	Georgia	Kakheti	410.064208984375	FALSE			Southern Avar	Южноаварский	Antsukh	Анцухский					Tivi			Ancux	ancu1238	avar1256	#009999	#009999		Jesse Wichers Schreur, p.c.	yes
602	Zemo-Alvani	Земо-Алвани		42.04444	45.30083	Legacy data		Tsova-Tush	Nakh	East Caucasian	Georgia	NA	470.884552001953	FALSE											Zemo-Alvani					bats1242	#996633	#996633			no
603	Chantlisqure	Чантлискуре		41.9095028	45.9071768	Google maps		Bezhta	Tsezic	East Caucasian	Georgia	Kakheti	288.862762451172	FALSE											Chantlisqure					bezh1248	#ff5050	#ff5050		Jesse Wichers Schreur, p.c.	yes
1117	Duisi	Дуиси		42.1496689	45.2735209	Google maps		Chechen	Nakh	East Caucasian	Georgia	Pankisi	NA	FALSE											Duisi					chec1245	#996600	#996633		Jesse Wichers Schreur, p.c.	yes
1118	Dzibakhevi	Дзибахеви		42.2089029	45.2942061	Google maps		Chechen	Nakh	East Caucasian	Georgia	Pankisi	NA	FALSE											Dzibakhevi					chec1245	#996600	#996633		Jesse Wichers Schreur, p.c.	yes
1119	Dzhokolo	Джоколо		42.1725633	45.2979827	Google maps		Chechen	Nakh	East Caucasian	Georgia	Pankisi	NA	FALSE											Dzhokolo					chec1245	#996600	#996633		Jesse Wichers Schreur, p.c.	yes
1120	Shua Khalatsani	Джуа Халацани		42.1400039	45.3184987	Google maps		Chechen	Nakh	East Caucasian	Georgia	Pankisi	NA	FALSE											Shua Khalatsani					chec1245	#996600	#996633		Jesse Wichers Schreur, p.c.	yes
1121	Birkiani	Биркиани		42.1893702	45.2992057	Google maps		Chechen	Nakh	East Caucasian	Georgia	Pankisi	NA	FALSE											Birkiani					chec1245	#996600	#996633		Jesse Wichers Schreur, p.c.	yes
1122	Omalo (Pankisi)	Омало (Панкиси)		42.1844732	45.3140331	Google maps		Chechen	Nakh	East Caucasian	Georgia	Pankisi	NA	FALSE											Omalo (Pankisi)					chec1245	#996600	#996633		Jesse Wichers Schreur, p.c.	yes
1420	Saruso	Сарусо		41.9034507	45.991913	Google maps		Hunzib	Tsezic	East Caucasian	Georgia	Kakheti	422.547668457031	FALSE											Saruso					hunz1247	#ff0066	#ff5050		Jesse Wichers Schreur, p.c.	yes
2022	Zinobiani	Зинобиани		41.89694	45.93306	Legacy data		Udi	Lezgic	East Caucasian	Georgia	NA	336.734222412109	FALSE			Vartashen	Варташенский							Zinobiani			Oktomberi	okto1238	udii1243	#004d00	#00cc66			no
