id	village	rus_village	village_altnames	lat	lon	coord_source	settlement_type	lang	aff	family	republic	region	elevation	kutans	source	page	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltl_village_dialect	gltc_village_dialect	gltl_dialect	gltc_dialect	gltc_lang	lang_col	aff_col	dialect_comment	villagelang_comment	manual
1424	Shoani	Шоани		42.791174	44.779613	Legacy data		Ingush	Nakh	East Caucasian	Ingushetia	NA	1313.32604980469	FALSE											Shoani					ingu1240	#663300	#996633			no
1425	Ol'geti	Ольгети		42.799632	44.756996	Legacy data		Ingush	Nakh	East Caucasian	Ingushetia	NA	1216.02648925781	FALSE	korjakov2006	map 8	Dzherakh	Джераховский							Ol'geti					ingu1240	#663300	#996633			no
1426	Lyazhgi	Ляжги		42.808416	44.732786	Legacy data		Ingush	Nakh	East Caucasian	Ingushetia	NA	1217.72106933594	FALSE											Lyazhgi					ingu1240	#663300	#996633			no
1427	Guli	Гули		42.810771	44.798552	Legacy data		Ingush	Nakh	East Caucasian	Ingushetia	NA	1614.28845214844	FALSE	korjakov2006	map 8	Dzherakh	Джераховский							Guli					ingu1240	#663300	#996633			no
1428	Targim	Таргим		42.810924	44.938931	Legacy data		Ingush	Nakh	East Caucasian	Ingushetia	NA	1161.70593261719	FALSE	korjakov2006	map 8	Galgay	Галгаевский							Targim					ingu1240	#663300	#996633			no
1429	Armkhi	Армхи		42.81195	44.7075	Legacy data		Ingush	Nakh	East Caucasian	Ingushetia	NA	1247.94958496094	FALSE	korjakov2006	26	Dzherakh	Джераховский							Armkhi					ingu1240	#663300	#996633			no
1430	Dzheyrakh	Джейрах		42.821997	44.679701	Legacy data		Ingush	Nakh	East Caucasian	Ingushetia	NA	1114.07019042969	FALSE	korjakov2006	map 8	Dzherakh	Джераховский							Dzheyrakh					ingu1240	#663300	#996633			no
1431	Pyaling	Пялинг		42.822778	44.986389	Legacy data		Ingush	Nakh	East Caucasian	Ingushetia	NA	1597.451171875	FALSE											Pyaling					ingu1240	#663300	#996633			no
1432	Beyni	Бейни		42.834193	44.717048	Legacy data		Ingush	Nakh	East Caucasian	Ingushetia	NA	1490.32568359375	FALSE											Beyni					ingu1240	#663300	#996633			no
1433	Egikkhal	Эгикхал		42.835294	44.923332	Legacy data		Ingush	Nakh	East Caucasian	Ingushetia	NA	1202.59558105469	FALSE											Egikkhal					ingu1240	#663300	#996633			no
