id	village	rus_village	village_altnames	lat	lon	coord_source	settlement_type	lang	aff	family	republic	region	elevation	kutans	source	page	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltl_village_dialect	gltc_village_dialect	gltl_dialect	gltc_dialect	gltc_lang	lang_col	aff_col	dialect_comment	villagelang_comment	manual
	Derbent	Дербент						Tat	Iranian	Indo-European	Daghestan			FALSE	suleymanov2017		Judeo-Tat								Derbent	Derbend	derb1244	Judeo-Tat	jude1256	jude1256	#d5daff	#fffded		In dataset.	
	Mitagi	Митаги						Tat	Iranian	Indo-European	Daghestan			FALSE	suleymanov2017		Muslim Tat		Northern						Mitagi			Muslim Tat	musl1236	musl1236	#d5daff	#fffded		In dataset as Azerbaijani-speaking; comment added.	
	Dzhalgan	Джалган						Tat	Iranian	Indo-European	Daghestan			FALSE	suleymanov2017		Muslim Tat		Southern						Dzhalgan			Muslim Tat	musl1236	musl1236	#d5daff	#fffded		In dataset as Azerbaijani-speaking; comment added.	
2114	Balaxanı	Балаханы	Balaxana	40.4608	49.9235	Open Street Map	village	Tat	Iranian	Indo-European	Azerbaijan	Bakı		FALSE	suleymanov2017		Muslim Tat		Southern						Balaxanı			Muslim Tat	musl1236	musl1236	#d5daff	#fffded			
2115	Suraxanı	Сураханы		40.4181	49.9991	Open Street Map	village	Tat	Iranian	Indo-European	Azerbaijan	Bakı		FALSE	suleymanov2017		Muslim Tat		Upper Şirvan						Suraxanı			Muslim Tat	musl1236	musl1236	#d5daff	#fffded			
2116	Gombori	Гомбори	გომბორი	41.8582	45.207	Open Street Map	village	Tat	Iranian	Indo-European	Georgia	Kakheti		FALSE	suleymanov2017		Judeo-Tat								Gombori			Judeo-Tat	jude1256	jude1256	#d5daff	#fffded		Russian name from Open Street Map	
	Oğuz	Огуз						Tat	Iranian	Indo-European	Azerbaijan			FALSE	suleymanov2017		Muslim Tat		Upper Şirvan						Oğuz			Muslim Tat	musl1236	musl1236	#d5daff	#fffded		In dataset as Udi-speaking; comment added.	
2117	Burovdal	NA		40.94023	48.37069	Open Street Map	hamlet	Tat	Iranian	Indo-European	Azerbaijan	İsmayıllı		FALSE	suleymanov2017		Muslim Tat		Upper Şirvan						Burovdal			Muslim Tat	musl1236	musl1236	#d5daff	#fffded			
2118	Müdrəsə	Мюдреса	Müdrisə	40.86034	48.31664	Open Street Map	hamlet	Tat	Iranian	Indo-European	Azerbaijan	İsmayıllı		FALSE	suleymanov2017		Muslim Tat		Upper Şirvan						Müdrəsə			Muslim Tat	musl1236	musl1236	#d5daff	#fffded	Armenian		
2119	Lahıc	Лахидж		40.84541	48.38354	Open Street Map	hamlet	Tat	Iranian	Indo-European	Azerbaijan	İsmayıllı		FALSE	suleymanov2017		Muslim Tat		Upper Şirvan						Lahıc			Muslim Tat	musl1236	musl1236	#d5daff	#fffded			
2120	Əhən	NA		40.8527	48.4166	Open Street Map	hamlet	Tat	Iranian	Indo-European	Azerbaijan	İsmayıllı		FALSE	suleymanov2017		Muslim Tat		Northern						Əhən			Muslim Tat	musl1236	musl1236	#d5daff	#fffded			
2121	Aşağı Atuc	NA		41.4467	48.5702	Open Street Map	village	Tat	Iranian	Indo-European	Azerbaijan	Quba		FALSE	suleymanov2017		Judeo-Tat								Aşağı Atuc			Judeo-Tat	jude1256	jude1256	#d5daff	#fffded			
2122	Qırmızı Qəsəbə	Красная Слобода	Fətəli xan, Qırmızıkənd, القصبة القرمزية ,قیرمیزی قصبه, קירמיזי קסבה, ყირმიზი-ყასაბა, Kırmızı Kasaba, Qafqazın Yerusəlimi	41.3736	48.5202	Open Street Map	no data	Tat	Iranian	Indo-European	Azerbaijan	Quba		FALSE	suleymanov2017		Muslim Tat		Northern						Qırmızı Qəsəbə			Muslim Tat	musl1236	musl1236	#d5daff	#fffded			
