id,village,lat,lon,lang,idiom,republic,region,elevation,kutans,comment,elevation_ETOPO1,diff
1,Khpyuk,41.66667,47.66667,Agul,NA,Dagestan,NA,2186.0732421875,FALSE,NA,2193,-6.9267578125
2,Usug,41.672481,47.594624,Agul,NA,Dagestan,NA,1836.66333007813,FALSE,NA,1852,-15.336669921869998
3,Kvardal,41.6803,47.56277,Agul,NA,Dagestan,NA,1980.43359375,FALSE,NA,1980,0.43359375
4,Ukuz,41.696017,47.591355,Agul,NA,Dagestan,NA,2031.93017578125,FALSE,NA,2108,-76.06982421875
5,Khveredzh,41.70206,47.57218,Agul,NA,Dagestan,NA,1972.65869140625,FALSE,NA,2060,-87.34130859375
6,Bedyuk,41.716044,47.525715,Agul,NA,Dagestan,NA,2171.84130859375,FALSE,NA,2255,-83.15869140625
7,Goa,41.753585,47.703213,Agul,NA,Dagestan,NA,1540.94604492188,FALSE,NA,1631,-90.05395507812
8,Richa,41.763646,47.502769,Agul,NA,Dagestan,NA,2053.85205078125,FALSE,NA,2043,10.85205078125
9,Duldug,41.76833,47.67438,Agul,NA,Dagestan,NA,1560.97912597656,FALSE,NA,1681,-120.02087402344
10,Tpig,41.780423,47.589523,Agul,NA,Dagestan,NA,1709.60607910156,FALSE,NA,1810,-100.39392089844
11,Khutkhul,41.78517,47.61451,Agul,NA,Dagestan,NA,1669.49426269531,FALSE,NA,1729,-59.50573730469
12,Fite,41.79161,47.73998,Agul,NA,Dagestan,NA,2203.34912109375,FALSE,NA,2066,137.34912109375
13,Yarkug,41.79814,47.68435,Agul,NA,Dagestan,NA,1696.74658203125,FALSE,NA,1744,-47.25341796875
14,Burkikhan,41.806356,47.538467,Agul,NA,Dagestan,NA,1917.41918945313,FALSE,NA,2035,-117.58081054687
15,Misi,41.80991,47.60329,Agul,NA,Dagestan,NA,1813.03881835938,FALSE,NA,1947,-133.96118164062
16,Kurag,41.836764,47.661351,Agul,NA,Dagestan,NA,1823.28076171875,FALSE,NA,1883,-59.71923828125
17,Khudig,41.85373,47.65854,Agul,NA,Dagestan,NA,1964.59118652344,FALSE,NA,2024,-59.40881347656
18,Arsug,41.86408,47.65011,Agul,NA,Dagestan,NA,1990.76062011719,FALSE,NA,2032,-41.23937988281
19,Burshag,41.89626,47.64102,Agul,NA,Dagestan,NA,2223.83544921875,FALSE,NA,2265,-41.16455078125
20,Tsirkhe,41.91513,47.59679,Agul,NA,Dagestan,NA,2062.8837890625,FALSE,NA,2177,-114.1162109375
21,Gelinbatan,41.94722,48.16722,Agul,NA,Dagestan,NA,265.338439941406,FALSE,NA,318,-52.66156005859398
22,Akhvakh-Dere,41.6624507,46.6360615,Akhvakh,NA,Azerbaijan,NA,820.670288085938,FALSE,NA,1013,-192.32971191406205
23,Ratlub,42.359268,46.433433,Akhvakh,NA,Dagestan,NA,1581.42468261719,FALSE,NA,1509,72.42468261719
24,Tsekob,42.422785,46.450219,Akhvakh,NA,Dagestan,NA,1613.07263183594,FALSE,NA,1806,-192.92736816406
25,Tlyanub,42.43568,46.45745,Akhvakh,NA,Dagestan,NA,1645.93200683594,FALSE,NA,1844,-198.06799316406
26,Lologonitl',42.51398,46.33093,Akhvakh,NA,Dagestan,NA,1975.88134765625,FALSE,NA,1884,91.88134765625
27,Izano,42.52735,46.40389,Akhvakh,NA,Dagestan,NA,1823.7587890625,FALSE,NA,1911,-87.2412109375
28,Kudiyabroso,42.541069,46.377932,Akhvakh,NA,Dagestan,NA,1566.51831054688,FALSE,NA,1723,-156.48168945312
29,Tad-Magitl',42.550266,46.348953,Akhvakh,NA,Dagestan,NA,1443.89916992188,FALSE,NA,1427,16.899169921880002
30,Tsvakilkolo,42.55213,46.35351,Akhvakh,NA,Dagestan,NA,1337.95275878906,FALSE,NA,1427,-89.04724121094
31,Kvankero,42.55244,46.3404,Akhvakh,NA,Dagestan,NA,1359.33947753906,FALSE,NA,1569,-209.66052246094
32,Kamyshkutan,43.500222,46.621832,Akhvakh,NA,Dagestan,NA,8.03595638275147,TRUE,NA,9,-0.9640436172485298
33,Kvankhidatli,42.65789,46.271742,Andi,NA,Dagestan,NA,714.97412109375,FALSE,NA,817,-102.02587890625
34,Muni,42.680242,46.308874,Andi,NA,Dagestan,NA,714.581481933594,FALSE,NA,773,-58.41851806640602
35,Mekheturi,42.70556,46.2375,Andi,NA,Dagestan,NA,1194.90844726563,FALSE,NA,1272,-77.09155273437
36,Shivor,42.714662,46.256637,Andi,NA,Dagestan,NA,1873.43334960938,FALSE,NA,1619,254.43334960938
37,Rushukha,42.715089999999996,46.28112,Andi,NA,Dagestan,NA,1677.90393066406,FALSE,NA,1594,83.90393066406
38,Chanko,42.717936,46.246417,Andi,NA,Dagestan,NA,1603.61743164063,FALSE,NA,1619,-15.382568359369998
39,Khando,42.72694,46.23361,Andi,NA,Dagestan,NA,1472.67944335938,FALSE,NA,1665,-192.32055664062
40,Zilo,42.731394,46.319223,Andi,NA,Dagestan,NA,1202.365234375,FALSE,NA,1173,29.365234375
