id	village	rus_village	village_altnames	lat	lon	coord_source	settlement_type	lang	aff	family	republic	region	elevation	kutans	source	page	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltl_village_dialect	gltc_village_dialect	gltl_dialect	gltc_dialect	gltc_lang	lang_col	aff_col	dialect_comment	villagelang_comment	manual	version
629	Kenkhi	Кенхи	NA	42.641667	45.945556	Legacy data	NA	Chamalal	Andic	East Caucasian	Chechnya	NA	1557.23425292969	FALSE	magomedova1999	13	Gakvari	Гакваринский	NA	NA	NA	NA	NA	NA	Kenkhi	NA	NA	Gakvari	gakv1238	cham1309	#000099	#9900ff	NA	NA	yes	2022-06-02
634	Khulandoy	Хуландой	NA	42.553333	45.754167	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1708.62817382813	FALSE	korjakov2006	map 8	Sharoy	Шароевский	NA	NA	NA	NA	NA	NA	Khulandoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
635	Kesaloy	Кесалой	NA	42.602778	45.74	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1795.72924804688	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Kesaloy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
636	Khakmadoy	Хакмадой	NA	42.620556	45.83	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1669.87829589844	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Khakmadoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
637	Chayry	Чайры	NA	42.620556	45.909722	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1738.76647949219	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chayry	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
638	Sharoy	Шарой	NA	42.629722	45.81	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1520.16357421875	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sharoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
639	Shikaroy	Шикарой	NA	42.630278	45.760556	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1855.60144042969	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Shikaroy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
640	Shkolkhe	Школхе	NA	42.63929	45.935388	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1496.14855957031	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Shkolkhe	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
641	Khimoy	Химой	NA	42.654444	45.852222	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1224.49450683594	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Khimoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
642	Buti	Бути	NA	42.661389	45.97	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1701.61120605469	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Buti	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
643	Kiri	Кири	NA	42.674722	45.914167	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1170.07836914063	FALSE	korjakov2006	map 8	Sharoy	Шароевский	NA	NA	NA	NA	NA	NA	Kiri	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
644	Verkhniy Camadoy	Верхний Цамадой	NA	42.675278	45.644722	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1596.90576171875	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Verkhniy Camadoy	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
645	Kheldi	Хелди	NA	42.675278	45.644722	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1596.90576171875	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Kheldi	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
646	Cesi	Цеси	NA	42.680278	45.790833	Legacy data	NA	Chechen	Nakh	East Caucasian	Chechnya	NA	1710.0029296875	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cesi	NA	NA	NA	NA	chec1245	#996600	#996633	NA	NA	no	2022-06-02
