id	village	rus_village	lat	lon	lang	aff	family	republic	region	elevation	kutans	source	page	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltl_village_dialect	gltc_village_dialect	gltl_dialect	gltc_dialect	gltc_lang	lang_col	aff_col	comment
1	Khpyuk	Хпюк	41.66667	47.66667	Agul	Lezgic	East Caucasian	Dagestan	NA	2186.0732421875	FALSE	shaumian1941; maisak2014	11-12; 377	Keren	Керенский							Huppuq'			Keren	kere1281	aghu1253	#00cc66	#00cc66	+ Y.B. Koryakov, p.c.
2	Usug	Усуг	41.672481	47.594624	Agul	Lezgic	East Caucasian	Dagestan	NA	1836.66333007813	FALSE	maisak2014	377	Keren	Керенский							Usug			Keren	kere1281	aghu1253	#00cc66	#00cc66	+ Y.B. Koryakov, p.c.
3	Kvardal	Квардал	41.6803	47.56277	Agul	Lezgic	East Caucasian	Dagestan	NA	1980.43359375	FALSE	maisak2014	377	Keren	Керенский							Kvardal			Keren	kere1281	aghu1253	#00cc66	#00cc66	
4	Ukuz	Укуз	41.696017	47.591355	Agul	Lezgic	East Caucasian	Dagestan	NA	2031.93017578125	FALSE	maisak2014	377	Keren	Керенский							Ukuz			Keren	kere1281	aghu1253	#00cc66	#00cc66	
5	Khveredzh	Хвередж	41.70206	47.57218	Agul	Lezgic	East Caucasian	Dagestan	NA	1972.65869140625	FALSE	maisak2014	377	Keren	Керенский							Khveredzh			Keren	kere1281	aghu1253	#00cc66	#00cc66	
6	Bedyuk	Бедюк	41.716044	47.525715	Agul	Lezgic	East Caucasian	Dagestan	NA	2171.84130859375	FALSE	maisak2014	377	Keren	Керенский							Bedyuk			Keren	kere1281	aghu1253	#00cc66	#00cc66	
7	Goa	Гоа	41.753585	47.703213	Agul	Lezgic	East Caucasian	Dagestan	NA	1540.94604492188	FALSE	maisak2014	377	Central	Центральный							Goa			Agul	agul1244	aghu1253	#00cc66	#00cc66	
8	Richa	Рича	41.763646	47.502769	Agul	Lezgic	East Caucasian	Dagestan	NA	2053.85205078125	FALSE	shaumian1941	11-12	Keren	Керенский							Richa			Keren	kere1281	aghu1253	#00cc66	#00cc66	
9	Duldug	Дулдуг	41.76833	47.67438	Agul	Lezgic	East Caucasian	Dagestan	NA	1560.97912597656	FALSE	maisak2014	377	Central	Центральный							Duldug			Agul	agul1244	aghu1253	#00cc66	#00cc66	
10	Tpig	Тпиг	41.780423	47.589523	Agul	Lezgic	East Caucasian	Dagestan	NA	1709.60607910156	FALSE	maisak2014; magometov1970	377; 194-233	Central	Центральный							Tpig			Agul	agul1244	aghu1253	#00cc66	#00cc66	
