Name	Lat	Lon	Language
Aghul	41.92418	47.58429	Aghul
Akhvakh	42.40035	46.30369	Akhvakh
Amuzgi-Shiri	42.060627	47.589895	Dargwa
Andi	42.80785	46.29187	Andi
Archi	42.0664	46.8678	Archi
Avar	42.43056	46.66639	Avar
Bagvalal	42.39664	46.1041	Bagvalal
Bats	42.1806	45.34397	Bats
Bezhta	42.1206	46.03319	Bezhta
Botlikh	42.665	46.22	Botlikh
Budukh	41.22722	48.33533	Budukh
Chamalal	42.50239	45.99496	Chamalal
Chechen	43.5	45.5	Chechen
Chirag	41.8381	47.4303	Dargwa
Cudaxar	42.33333	47.15	Dargwa
Dargwa	42.42568	47.43876	Dargwa
Gapshima	42.2122	47.3261	Dargwa
Godoberi	42.74276	46.22524	Godoberi
Hinuq	42.45022	45.80638	Hinuq
Hunzib	42.08076	46.13691	Hunzib
Ingush	43.16667	44.81667	Ingush
Inkhoqwari	42.410888	46.044877	Xvarshi
Itsari	41.99733	47.5833	Dargwa
Kajtak	42.06139	47.79597	Dargwa
Karata	42.65005	46.31511	Karata
Khinalugh	41.18014	48.05714	Khinalugh
Kryz	41.18107	48.18457	Kryz
Kubachi	42.0856	47.6031	Dargwa
Lak	42.13275	47.0809	Lak
Lezgian	41.51572	47.89507	Lezgian
Mehweb	42.2528	47.0472	Dargwa
Muirin	42.1617	47.6944	Dargwa
North-Dargwa	42.275664	47.340107	Dargwa
Rutul	41.61866	47.32436	Rutul
Tabasaran	42.01976	47.83791	Tabasaran
Tanti	42.1642	47.3167	Dargwa
Tindi	42.33164	45.92268	Tindi
Tsakhur	41.59156	46.88585	Tsakhur
Tsez	42.26458	45.80959	Tsez
Udi	40.9	47.7236	Udi
Verhnevurkunskij	41.96638	47.51297	Dargwa
Xvarshi	42.353471	46.107859	Xvarshi
